,Actual,Predicted,delta,trend_actual,trend_predicted
173,64.87,65.69707,-0.82707,,
174,64.23,64.9238,-0.6938,,
175,63.31,64.256424,-0.946424,,
176,63.26,63.393513,-0.133513,,
177,64.98,63.076725,1.903275,,
178,64.48,64.173416,0.306584,,
179,65.72,64.164375,1.555625,,
180,65.61,65.09357,0.51643,,
181,66.27,65.2955,0.9745,,
182,64.95,65.85701,-0.90701,,
183,64.92,65.08123,-0.16123,,
184,62.62,64.839775,-2.219775,,
185,63.15,63.16253,-0.01253,,
186,62.54,62.970165,-0.430165,,
187,62.42,62.435665,-0.015665,,
188,61.89,62.18938,-0.29938,,
189,61.57,61.749413,-0.179413,,
190,62.18,61.398643,0.781357,,
191,61.64,61.704575,-0.064575,,
192,61.71,61.444557,0.265443,,
193,63.25,61.43073,1.81927,,
194,63.48,62.493095,0.986905,,
195,64.43,63.00485,1.42515,,
196,65.66,63.87095,1.78905,,
197,66.36,65.02562,1.33438,,
198,65.3,65.887375,-0.587375,,
199,65.68,65.398254,0.281746,,
200,64.61,65.530304,-0.920304,,
201,65.75,64.77091,0.97909,,
202,64.11,65.34082,-1.23082,,
203,61.79,64.317375,-2.527375,,
204,62.99,62.447464,0.542536,,
205,63.25,62.61879,0.63121,,
206,63.6,62.798683,0.801317,,
207,63.41,63.124268,0.285732,,
208,63.9,63.119453,0.780547,,
209,61.92,63.482212,-1.562212,,
210,61.81,62.246223,-0.436223,,
211,61.72,61.77943,-0.05943,,
212,64.29,61.529243,2.760757,,
213,64.39,63.237625,1.152375,,
214,64.52,63.85121,0.66879,,
215,65.8,64.1935,1.6065,,
216,66.03,65.22582,0.80418,,
217,66.05,65.69232,0.35768,,
218,64.03,65.85994,-1.82994,,
219,64.4,64.49743,-0.09743,,
220,62.83,64.31806,-1.48806,,
221,62.34,63.11215,-0.77215,,
222,61.97,62.387684,-0.417684,,
223,60.02,61.87044,-1.85044,,
224,59.65,60.383896,-0.733896,,
225,56.67,59.636086,-2.966086,,
226,57.11,57.457275,-0.347275,,
227,57.53,56.92149,0.60851,,
228,58.2,56.972496,1.227504,,
229,58.17,57.467724,0.702276,,
230,59.01,57.680336,1.329664,,
231,59.96,58.357174,1.602826,,
232,61.71,59.26025,2.44975,,
233,61.74,60.795715,0.944285,,
234,60.79,61.356743,-0.566743,,
235,59.89,60.922108,-1.032108,,
236,61.3,60.159348,1.140652,,
237,61.84,60.814014,1.025986,,
238,61.82,61.368244,0.451756,,
239,60.28,61.55226,-1.27226,,
240,61.44,60.578518,0.861482,,
241,60.88,61.02789,-0.14789,,
242,60.72,60.762794,-0.042794,,
243,60.13,60.57769,-0.44769,,
244,58.89,60.110386,-1.220386,,
245,58.87,59.123276,-0.253276,,
246,58.04,58.75328,-0.71328,,
247,58.03,58.061916,-0.031916,,
248,59.03,57.81203,1.21797,,
249,57.61,58.3825,-0.7725,,
250,59.68,57.67599,2.00401,,
251,59.78,58.816193,0.963807,,
252,57.73,59.284878,-1.554878,,
253,59.12,58.138165,0.981835,,
254,58.9,58.64573,0.25427,,
255,59.25,58.6478,0.6022,,
256,57.39,58.897404,-1.507404,,
257,57.89,57.76827,0.12173,,
258,56.9,57.6844,-0.7844,,
259,53.87,56.98485,-3.11485,,
260,55.63,54.847054,0.782946,,
261,54.33,55.085136,-0.755136,,
262,55.39,54.338676,1.051324,,
263,54.97,54.74733,0.22267,,
264,52.64,54.66249,-2.02249,,
265,52.09,53.221962,-1.131962,,
266,50.47,52.30505,-1.83505,,
267,52.4,50.94978,1.45022,,
268,51.2,51.534847,-0.334847,,
269,52.94,51.087257,1.852743,,
270,52.07,52.000427,0.069573,,
271,53.59,51.880383,1.709617,,
272,55.75,52.796158,2.953842,,
273,56.12,54.55171,1.56829,,
274,56.24,55.51158,0.72842,,
275,55.41,55.978554,-0.568554,,
276,58.35,55.608868,2.741132,,
277,60.95,57.351326,3.598674,,
278,60.98,59.71674,1.26326,,
279,60.5,60.585003,-0.085003,,
280,60.41,60.575504,-0.165504,,
281,60.91,60.479946,0.430054,,
282,62.44,60.735813,1.704187,,
283,62.67,61.83344,0.83656,,
284,63.58,62.334656,1.245344,,
285,63.5,63.140446,0.359554,,
286,62.19,63.32775,-1.13775,,
287,63.2,62.47923,0.72077,,
288,62.52,62.88623,-0.36623,,
289,61.52,62.499947,-0.979947,,
290,60.97,61.695045,-0.725045,,
291,61.3,61.040257,0.259743,,
292,62.21,61.020638,1.189362,,
293,62.75,61.625923,1.124077,,
294,62.31,62.211567,0.098433,,
295,62.42,62.12628,0.29372,,
296,62.42,62.192665,0.227335,,
297,63.81,62.20712,1.60288,,
298,62.85,63.17692,-0.32692,,
299,62.32,62.81267,-0.49267,,
300,60.99,62.35572,-1.36572,,
301,60.4,61.283623,-0.883623,,
302,59.89,60.512,-0.622,,
303,60.05,59.880905,0.169095,,
304,58.96,59.76065,-0.80065,,
305,58.73,58.99849,-0.26849,,
306,56.25,58.593914,-2.343914,,
307,58.77,56.85709,1.91291,,
308,58.45,57.849422,0.600578,,
309,58.6,57.987984,0.612016,,
310,59.6,58.19363,1.40637,,
311,61.03,58.953037,2.076963,,
312,60,60.204082,-0.204082,,
313,59.16,59.961792,-0.801792,,
314,60.12,59.341248,0.778752,,
315,59.15,59.74063,-0.59063,,
316,57.86,59.20479,-1.34479,,
317,58.6,58.17554,0.42446,,
318,58.6,58.270794,0.329206,,
319,58.41,58.284576,0.125424,,
320,60.75,58.1804,2.5696,,
321,60.3,59.721195,0.578805,,
322,61.58,59.962627,1.617373,,
323,59.5,60.959785,-1.459785,,
324,58.89,59.89361,-1.00361,,
325,59.43,59.1284,0.3016,,
326,58.61,59.170315,-0.560315,,
327,57.72,58.619946,-0.899946,,
328,59.1,57.84796,1.25204,,
329,60.05,58.467197,1.582803,,
330,58.86,59.320126,-0.460126,,
331,58.34,58.861782,-0.521782,,
332,57.4,58.381393,-0.981393,,
333,58.52,57.5793,0.9407,,
334,59.95,58.006058,1.943942,,
335,59.9,59.10439,0.79561,,
336,60.04,59.48611,0.55389,,
337,59.76,59.74575,0.01425,,
338,58.5,59.649105,-1.149105,,
339,60.9,58.77513,2.12487,,
340,62.8,60.059013,2.740987,,
341,62.7,61.783382,0.916618,,
342,62.99,62.31993,0.67007,,
343,61.14,62.73152,-1.59152,,
344,61.44,61.58505,-0.14505,,
345,60.25,61.397552,-1.147552,,
346,61.71,60.478416,1.231584,,
347,60.81,61.143803,-0.333803,,
348,61.7,60.731716,0.968284,,
349,63.85,61.223366,2.626634,,
350,63.49,62.873608,0.616392,,
351,63.45,63.167152,0.282848,,
352,64.27,63.276737,0.993263,,
353,63.84,63.878765,-0.038765,,
354,65.59,63.74777,1.84223,,
355,66.01,64.956825,1.053175,,
356,67.2,65.59436,1.60564,,
357,67.55,66.67441,0.87559,,
358,68.65,67.2323,1.4177,,
359,69.25,68.22114,1.02886,,
360,70.29,68.92563,1.36437,,
361,70.45,69.905334,0.544666,,
362,69.77,70.264694,-0.494694,,
363,70.46,69.83957,0.62043,,
364,72.2,70.248024,1.951976,,
365,72.8,71.65423,1.14577,,
366,71.65,72.4409,-0.7909,,
367,72.85,71.763824,1.086176,,
368,72.45,72.54995,-0.09995,,
369,71.22,72.36469,-1.14469,,
370,70.48,71.394005,-0.914005,,
371,71.65,70.57743,1.07257,,
372,72.93,71.2353,1.6947,,
373,73.38,72.35238,1.02762,,
374,73.79,72.9817,0.8083,,
375,74,73.48529,0.51471,,
376,76.25,73.77898,2.47102,,
