Date,Price,Open,High,Low,Vol.,Change %
9/27/2019,19,640,19,570,19,680,19,570,0.23K,0.00%
9/26/2019,19,640,19,570,19,690,19,530,0.64K,0.26%
9/25/2019,19,590,19,410,19,650,19,410,1.06K,0.46%
9/24/2019,19,500,19,740,19,740,19,460,1.14K,-1.07%
9/23/2019,19,710,19,740,19,790,19,580,0.93K,-0.55%
9/20/2019,19,820,19,780,19,870,19,740,0.56K,0.05%
9/19/2019,19,810,19,770,19,830,19,730,0.51K,0.41%
9/18/2019,19,730,19,530,19,780,19,530,0.78K,0.71%
9/17/2019,19,590,19,900,19,910,19,530,1.25K,-1.66%
9/16/2019,19,920,19,820,19,980,19,520,0.72K,0.30%
9/13/2019,19,860,19,800,19,940,19,790,1.03K,0.51%
9/12/2019,19,760,19,560,19,780,19,540,1.37K,1.23%
9/11/2019,19,520,19,490,19,550,19,420,0.63K,0.21%
9/10/2019,19,480,19,430,19,600,19,410,0.48K,0.36%
9/9/2019,19,410,19,500,19,500,19,320,0.51K,-0.10%
9/6/2019,19,430,19,530,19,570,19,410,0.50K,-0.26%
9/5/2019,19,480,19,490,19,550,19,370,0.57K,0.31%
9/4/2019,19,420,19,440,19,490,19,320,0.71K,-0.21%
9/3/2019,19,460,19,570,19,610,19,360,0.94K,-0.82%
9/2/2019,19,620,19,580,19,650,19,570,0.08K,-5.72%
8/30/2019,20,810,20,870,21,120,20,410,2.38K,-0.67%
8/29/2019,20,950,21,020,21,030,20,900,1.44K,-0.43%
8/28/2019,21,040,20,960,21,130,20,950,1.13K,-0.43%
8/27/2019,21,130,21,020,21,200,20,940,0.80K,0.86%
8/26/2019,20,950,20,720,21,040,20,650,1.37K,0.00%
8/23/2019,20,950,21,280,21,300,20,880,1.34K,-1.55%
8/22/2019,21,280,21,180,21,380,21,150,1.00K,0.66%
8/21/2019,21,140,21,100,21,160,20,980,0.55K,0.43%
8/20/2019,21,050,20,870,21,090,20,860,0.69K,0.67%
8/19/2019,20,910,20,770,21,040,20,720,0.97K,0.63%
8/16/2019,20,780,20,720,20,820,20,660,0.62K,0.73%
